;TICKER;TRUENAMES;industry;sector

#################################################################################################### eurpa style
209;10AI.DE;Amundi Index Solutions - Amundi Index MSCI Europe UCITS ETF DR EUR;ETF;sector
281;AE50.DE;Amundi ETF Stoxx Europe 50 UCITS ETF;ETF;sector
606;EUN0.DE;iShares Edge MSCI Europe Minimum Volatility UCITS ETF EUR (Acc);ETF;sector
571;EUN1.DE;iShares STOXX Europe 50 UCITS ETF EUR (Dist);ETF;sector
630;CEMQ.DE;iShares Edge MSCI Europe Quality Factor UCITS ETF EUR (Acc);ETF;sector
629;CEMR.DE;iShares Edge MSCI Europe Momentum Factor UCITS ETF EUR (Acc);ETF;sector
632;CEMS.DE;iShares Edge MSCI Europe Value Factor UCITS ETF EUR (Acc);ETF;sector
631;CEMT.DE;iShares Edge MSCI Europe Size Factor UCITS ETF EUR (Acc);ETF;sector
249;CEUG.DE;Amundi Index Solutions - Amundi MSCI Europe UCITS ETF C EUR;ETF;sector
248;AMEQ.DE;Amundi Index Solutions - Amundi MSCI Europe Quality Factor;ETF;sector
387;C051.DE;Lyxor EURO STOXX Select Dividend 30 UCITS ETF;ETF;sector
322;E960.DE;Lyxor 1 STOXX® Europe 600 UCITS ETF;ETF;sector
321;E950.DE;Lyxor 1 EURO STOXX 50 UCITS ETF;ETF;sector
21;DXSA.DE;Xtrackers - Euro Stoxx Select Dividend 30 UCITS ETF;ETF;sector
19;DBXE.DE;Xtrackers - Euro Stoxx 50 UCITS ETF;ETF;sector
43;D5BL.DE;Xtrackers - MSCI Europe Value UCITS ETF;ETF;sector
79;DX2I.DE;Xtrackers - MSCI Europe Mid Cap UCITS ETF;ETF;sector
80;DX2J.DE;Xtrackers - MSCI Europe Small Cap UCITS ETF;ETF;sector
834;WTD7.DE;WisdomTree Europe SmallCap Dividend UCITS ETF - Acc;ETF;sector
604;EXSC.DE;iShares STOXX Europe Large 200 UCITS ETF (DE);ETF;sector
582;EXSD.DE;iShares STOXX Europe Mid 200 UCITS ETF (DE);ETF;sector
540;EXSE.DE;iShares STOXX Europe Small 200 UCITS ETF (DE);ETF;sector
666;EXV1.DE;iShares (DE) I - iShares STOXX Europe 600 Banks UCITS ETF (DE);ETF;sector
679;EXV2.DE;iShares (DE) I - iShares STOXX Europe 600 Telecommunications UCITS ETF (DE);ETF;sector
678;EXV3.DE;iShares STOXX Europe 600 Technology UCITS ETF (DE);ETF;sector
671;EXV4.DE;iShares STOXX Europe 600 Health Care UCITS ETF (DE);ETF;sector
665;EXV5.DE;iShares (DE) I - iShares STOXX Europe 600 Automobiles & Parts UCITS ETF (DE);ETF;sector
573;EXV6.DE;iShares STOXX Europe 600 Basic Resources UCITS ETF (DE);ETF;sector
541;EXSG.DE;iShares EURO STOXX Select Dividend 30 UCITS ETF (DE);ETF;sector
605;EXSH.DE;iShares STOXX Europe Select Dividend 30 UCITS ETF (DE);ETF;sector
549;IQQA.DE;iShares Euro Dividend UCITS ETF EUR (Dist);ETF;sector
832;WTEE.DE;WisdomTree Europe Equity Income UCITS ETF;ETF;sector
247;MJMT.DE;Amundi Index Solutions - Amundi MSCI Europe Momentum Factor UCITS ETF-C;ETF;sector
245;MIVA.DE;Amundi Index Solutions - Amundi MSCI Europe Minimum Volatility Factor UCITS ETF;ETF;sector
327;SELD.DE;Lyxor Index Fund - Lyxor STOXX Europe Select Dividend 30 UCITS ETF Dist;ETF;sector

#########################  CHINA CHINA CHINA #################################################################    CHINA CHINA
623;36BZ.DE;iShares MSCI China A UCITS ETF USD (Acc);ETF;sector


###################################################################################################################  COMMODITY COMMODITY COMMODITY

398;C090.DE;Lyxor Bloomberg Equal-weight Commodity ex-Agriculture UCITS ETF;ETF;sector
188;DBZN.DE;Xtrackers Bloomberg Commodity Swap UCITS ETF 2C - EUR Hedged;ETF;sector

383;C099.DE;Lyxor Bloomberg Equal-weight Commodity ex-Agriculture EUR hedged UCITS ETF;ETF;sector
##################################################################################################################  europa sektoren


342;6FIN.DE;MULTI-UNITS LUXEMBOURG - Lyxor STOXX Europe 600 Financial Services UCITS ETF 2;ETF;sector
362;6TVL.DE;"Lyxor Index Fund - Lyxor STOXX Europe 600 Travel &amp; Leisure UCITS ETF 2";ETF;sector
261;AME6.DE;Amundi Index Solutions - Amundi Stoxx Europe 600;ETF;sector
31;EZU;iShares MSCI Eurozone ETF;ETF;sector
200;XSXE.DE;Xtrackers - Stoxx Europe 600 UCITS ETF;ETF;sector
667;EXV7.DE;iShares (DE) I - iShares STOXX Europe 600 Chemicals UCITS ETF (DE);ETF;sector
668;EXV8.DE;"iShares STOXX Europe 600 Construction &amp; Materials UCITS ETF (DE)";ETF;sector
680;EXV9.DE;iShares (DE) I - iShares STOXX Europe 600 Travel & Leisure UCITS ETF (DE);ETF;sector
311;18M3.DE;Amundi ETF MSCI Europe Banks UCITS ETF;ETF;sector
313;18M6.DE;Amundi ETF MSCI Europe Healthcare UCITS ETF;ETF;sector
312;AMEE.DE;Amundi ETF MSCI Europe Energy UCITS ETF;ETF;sector
358;CSTA.DE;Lyxor STOXX Europe 600 Technology UCITS ETF Dis;ETF;sector
338;CSTD.DE;"Lyxor Index Fund - Lyxor STOXX Europe 600 Construction &amp; Materials UCITS ETF Inc";ETF;sector
198;DXSC.DE;Xtrackers Stoxx Europe 600 Basic Resources Swap UCITS ETF 1C;ETF;sector
199;DXSD.DE;Xtrackers - Stoxx Europe 600 Oil & Gas Swap UCITS ETF;ETF;sector
47;DXSE.DE;Xtrackers - Stoxx Europe 600 Health Care Swap UCITS ETF;ETF;sector
45;DXSF.DE;Xtrackers - Stoxx Europe 600 Banks Swap UCITS ETF;ETF;sector
50;DXSG.DE;Xtrackers - Stoxx Europe 600 Telecommunications Swap UCITS ETF;ETF;sector
49;DXSH.DE;Xtrackers - Stoxx Europe 600 Technology Swap UCITS ETF;ETF;sector
51;DXSI.DE;Xtrackers - Stoxx Europe 600 Utilities Swap UCITS ETF;ETF;sector
46;DXSK.DE;"Xtrackers Stoxx Europe 600 Food &amp; Beverage Swap UCITS ETF 1C";ETF;sector
565;IQQS.DE;iShares EURO STOXX Small UCITS ETF EUR (Dist);ETF;sector
48;DXSL.DE;Xtrackers Stoxx Europe 600 Industrial Goods Swap UCITS ETF 1C;ETF;sector
14;D5BK.DE;Xtrackers FTSE Developed Europe Real Estate UCITS ETF 1C;ETF;sector
775;EUNZ.DE;iShares STOXX Europe 50 UCITS ETF EUR (Dist);ETF;sector
574;EXH1.DE;iShares (DE) I - iShares STOXX Europe 600 Oil & Gas UCITS ETF (DE);ETF;sector
669;EXH2.DE;iShares (DE) I - iShares STOXX Europe 600 Financial Services UCITS ETF (DE);ETF;sector
670;EXH3.DE;iShares (DE) I - iShares STOXX Europe 600 Food & Beverage UCITS ETF (DE);ETF;sector
672;EXH4.DE;"iShares STOXX Europe 600 Industrial Goods &amp; Services UCITS ETF (DE)";ETF;sector
673;EXH5.DE;iShares STOXX Europe 600 Insurance UCITS ETF (DE);ETF;sector
674;EXH6.DE;iShares (DE) I - iShares STOXX Europe 600 Media UCITS ETF (DE);ETF;sector
675;EXH7.DE;iShares (DE) I - iShares STOXX Europe 600 Personal & Household Goods UCITS ETF (DE);ETF;sector
677;EXH8.DE;iShares STOXX Europe 600 Retail UCITS ETF (DE);ETF;sector
681;EXH9.DE;iShares (DE) I - iShares STOXX Europe 600 Utilities UCITS ETF (DE);ETF;sector
332;INDA.DE;MULTI-UNITS LUXEMBOURG - Lyxor STOXX Europe 600 Banks UCITS ETF 2;ETF;sector
360;INDB.DE;MULTI-UNITS LUXEMBOURG - Lyxor STOXX Europe 600 Telecommunications UCITS ETF 2;ETF;sector
346;INDU.DE;"Lyxor STOXX Europe 600 Industrial Goods &amp; Services UCITS ETF Dis";ETF;sector
481;EABE.DE;"Lyxor Net Zero 2050 S&amp;P Europe Climate PAB (DR) UCITS ETF - Acc";ETF;sector
343;LHTC.DE;Lyxor Index Fund - Lyxor Stoxx Europe 600 Healthcare UCITS ETF Acc;ETF;sector
345;LIGS.DE;"Lyxor Index Fund - Lyxor STOXX Europe 600 Industrial Goods &amp; Services UCITS ETF Acc";ETF;sector
347;LIRU.DE;Lyxor Index Fund - Lyxor STOXX Europe 600 Insurance UCITS ETF Acc;ETF;sector
351;LOGS.DE;Lyxor Index Fund - Lyxor Stoxx Europe 600 Oil & Gas UCITS ETF;ETF;sector
353;LPHG.DE;"Lyxor Index Fund - Lyxor STOXX Europe 600 Personal &amp; Household Goods UCITS ETF Acc";ETF;sector
355;LRET.DE;Lyxor Index Fund - Lyxor STOXX Europe 600 Retail UCITS ETF Acc;ETF;sector
359;LTCM.DE;Lyxor Index Fund - Lyxor Stoxx Europe 600 Telecommunications UCITS ETF Acc;ETF;sector
357;LTUG.DE;Lyxor Index Fund - Lyxor STOXX Europe 600 Technology UCITS ETF;ETF;sector
524;SXRW.DE;iShares VII Public Limited Company - iShares FTSE 100 UCITS ETF;ETF;sector
525;SXRY.DE;iShares VII Public Limited Company - iShares FTSE MIB UCITS ETF EUR (Acc);ETF;sector

#####################################################################################################   DAX
399;C001.DE;Lyxor Core DAX® (DR) UCITS ETF;ETF;sector
400;C003.DE;Lyxor DivDAX® (DR) UCITS ETF;ETF;sector
455;C005.DE;ComStage - SDAX® UCITS ETF;ETF;sector
427;C006.DE;Lyxor F.A.Z. 100 Index (DR) UCITS ETF;ETF;sector
435;C007.DE;Lyxor MDAX® (DR) UCITS ETF;ETF;sector
320;E903.DE;Lyxor 1 DivDAX UCITS ETF (I);ETF;sector
378;E905.DE;Lyxor 1 - SDAX UCITS ETF;ETF;sector
377;E907.DE;Lyxor 1 - MDAX UCITS ETF;ETF;sector
379;E908.DE;Lyxor 1 - TecDAX UCITS ETF;ETF;sector
397;E909.DE;Lyxor 1 DAX 50 ESG UCITS ETF I;ETF;sector
17;DBXD.DE;Xtrackers - DAX UCITS ETF;ETF;sectorv
94;XDGM.DE;Xtrackers (IE) Public Limited Company - Xtrackers Germany Mittelstand & MidCap UCITS ETF;ETF;sector
52;XDDX.DE;Xtrackers - DAX Income UCITS ETF;ETF;sector
537;EXS1.DE;iShares Core DAX UCITS ETF (DE) EUR (Acc);ETF;sector
817;EXS2.DE;iShares TecDAX UCITS ETF (DE);ETF;sector
811;EXS3.DE;iShares MDAX UCITS ETF (DE);ETF;sector

538;EXSB.DE;iShares DivDAX UCITS ETF (DE);ETF;sector

###################################################################################################### world


##################################################################################################################  world sektoren
614;36BB.DE;iShares MSCI World Consumer Discretionary Sector UCITS ETF USD Inc;ETF;sector
802;5MVW.DE;iShares MSCI World Energy Sector UCITS ETF USD Inc;ETF;sector
22;DXSB.DE;Xtrackers - Stoxx Global Select Dividend 100 Swap UCITS ETF;ETF;sector
803;CBUF.DE;iShares MSCI World Health Care Sector UCITS ETF USD Inc;ETF;sector
689;IEVD.DE;iShares Electric Vehicles and Driving Technology UCITS ETF USD (Acc);ETF;sector
131;XWTS.DE;Xtrackers (IE) Public Limited Company - Xtrackers MSCI World Telecom Services UCITS ETF;ETF;sector
125;XDW0.DE;Xtrackers (IE) Public Limited Company - Xtrackers MSCI World Energy UCITS ETF;ETF;sector
124;XDWC.DE;Xtrackers (IE) Public Limited Company - Xtrackers MSCI World Consumer Discretionary UCITS ETF;ETF;sector
123;XDWD.DE;Xtrackers (IE) Plc - Xtrackers MSCI World UCITS ETF 1C;ETF;sector
126;XDWF.DE;Xtrackers (IE) Public Limited Company - Xtrackers MSCI World Financials UCITS ETF;ETF;sector
54;XDWH.DE;Xtrackers (IE) Public Limited Company - Xtrackers MSCI World Health Care UCITS ETF;ETF;sector
120;XDWI.DE;Xtrackers (IE) Public Limited Company - Xtrackers MSCI World Industrials UCITS ETF;ETF;sector
127;XDWL.DE;Xtrackers (IE) Public Limited Company - Xtrackers MSCI World UCITS ETF;ETF;sector
130;XDWM.DE;Xtrackers (IE) Public Limited Company - Xtrackers MSCI World Materials UCITS ETF;ETF;sector
118;XDWS.DE;Xtrackers (IE) Public Limited Company - Xtrackers MSCI World Consumer Staples UCITS ETF;ETF;sector
129;XDWT.DE;Xtrackers (IE) Public Limited Company - Xtrackers MSCI World Information Technology UCITS ETF;ETF;sector
132;XDWU.DE;Xtrackers (IE) Public Limited Company - Xtrackers MSCI World Utilities UCITS ETF;ETF;sector
178;XDWY.DE;Xtrackers (IE) Plc - Xtrackers MSCI World High Dividend Yield UCITS ETF 1D;ETF;sector
89;DBXW.DE;Xtrackers - MSCI World Swap UCITS ETF;ETF;sector

#################################################################################################################   world themes
599;2B76.DE;"iShares Automation &amp; Robotics UCITS ETF USD (Acc)";ETF;sector
766;2B7J.DE;iShares MSCI World SRI UCITS ETF USD (Dist);ETF;sector
767;2B7K.DE;iShares IV Public Limited Company - iShares MSCI World SRI UCITS ETF;ETF;sector
439;LYPA.DE;Lyxor MSCI World Consumer Discretionary TR UCITS ETF - C-EUR;ETF;sector
440;LYPB.DE;Multi Units Luxembourg - Lyxor MSCI World Consumer Staples TR UCITS ETF;ETF;sector
778;MVEW.DE;Ishares VI Public Limited Company - iShares Edge MSCI World Minimum Volatility ESG UCITS ETF;ETF;sector
244;MWSH.DE;Amundi Index Solutions - Amundi MSCI World SRI UCITS ETF DR Hedged EUR C;ETF;sector
441;LYPC.DE;Multi Units Luxembourg - Lyxor MSCI World Energy TR UCITS ETF;ETF;sector
443;LYPD.DE;Lyxor MSCI World Financials TR UCITS ETF - C-EUR;ETF;sector
444;LYPE.DE;Lyxor MSCI World Health Care TR UCITS ETF - C-EUR;ETF;sector
445;LYPF.DE;Multi Units Luxembourg - Lyxor MSCI World Industrials TR UCITS ETF;ETF;sector
446;LYPG.DE;Multi Units Luxembourg - Lyxor MSCI World Information Technology TR UCITS ETF;ETF;sector
447;LYPH.DE;Multi Units Luxembourg - Lyxor MSCI World Materials TR UCITS ETF;ETF;sector
448;LYPI.DE;Lyxor MSCI World Telecommunication Services TR UCITS ETF - C-EUR;ETF;sector
449;LYPQ.DE;Lyxor MSCI World Utilities TR UCITS ETF - C-EUR;ETF;sector
804;AYEW.DE;iShares MSCI World Information Technology Sector UCITS ETF USD Inc;ETF;sector
597;2B77.DE;iShares Ageing Population UCITS ETF USD (Acc);ETF;sector
779;UEEH.DE;iShares Edge MSCI World Minimum Volatility UCITS ETF USD (Dist);ETF;sector
616;2B77.DE;iShares Ageing Population UCITS ETF USD (Acc);ETF;sector
618;2B78.DE;iShares Healthcare Innovation UCITS ETF USD (Acc);ETF;sector
600;2B79.DE;iShares Digitalisation UCITS ETF USD (Acc);ETF;sector
482;EABG.DE;"Lyxor Net Zero 2050 S&amp;P World Climate PAB (DR) UCITS ETF - Acc";ETF;sector
212;10AH.DE;Amundi Index Solutions - Amundi Index MSCI World UCITS ETF DR EUR;ETF;sector
369;ELCR.DE;Lyxor Index Fund - Lyxor Future Mobility (DR) UCITS ETF;ETF;sector
711;IQQH.DE;iShares Global Clean Energy UCITS ETF USD (Dist);ETF;sector
511;LESW.DE;Multi Units Luxembourg - Lyxor MSCI World ESG Leaders Extra (DR) UCITS ETF;ETF;sector
179;XZWE.DE;Xtrackers (IE) Plc - Xtrackers MSCI World ESG UCITS ETF 2C - EUR Hedged;ETF;sector
128;XWEH.DE;Xtrackers - MSCI World Swap UCITS ETF;ETF;sector
1;XMAW.DE;Xtrackers (IE) Public Limited Company - Xtrackers MSCI AC World UCITS ETF;ETF;sector
493;VOOM.DE;Lyxor Global Gender Equality (DR) UCITS ETF - C-USD;ETF;sector
841;W1TA.DE;WisdomTree Battery Solutions UCITS ETF - USD Acc;ETF;sector
268;PABW.DE;Amundi Index Solutions - Amundi MSCI World Climate Paris Aligned Pab ETF DR USD (C);ETF;sector
814;IS3Q.DE;iShares Edge MSCI World Quality Factor UCITS ETF USD (Acc);ETF;sector
813;IS3R.DE;iShares Edge MSCI World Momentum Factor UCITS ETF USD (Acc);ETF;sector
816;IS3S.DE;iShares Edge MSCI World Value Factor UCITS ETF USD (Acc);ETF;sector
815;IS3T.DE;iShares Edge MSCI World Size Factor UCITS ETF USD (Acc);ETF;sector
642;IUSN.DE;iShares MSCI World Small Cap UCITS ETF USD (Acc);ETF;sector
733;IUSN.DE;iShares MSCI World Small Cap UCITS ETF USD (Acc);ETF;sector


819;W1TB.DE;WisdomTree Cybersecurity UCITS ETF USD Acc;ETF;sector
257;WDFI.DE;Amundi Index Solutions - Amundi MSCI World Financials UCITS ETF;ETF;sector
256;WDNR.DE;Amundi Index Solutions - Amundi MSCI World Energy UCITS ETF;ETF;sector
59;XDEB.DE;Xtrackers (IE) Public Limited Company - Xtrackers MSCI World Minimum Volatility UCITS ETF;ETF;sector
60;XDEM.DE;Xtrackers (IE) Public Limited Company - Xtrackers MSCI World Momentum UCITS ETF;ETF;sector
61;XDEQ.DE;Xtrackers (IE) Public Limited Company - Xtrackers MSCI World Quality UCITS ETF;ETF;sector
62;XDEV.DE;Xtrackers (IE) Public Limited Company - Xtrackers MSCI World Value UCITS ETF;ETF;sector
824;WTEJ.DE;WisdomTree Issuer ICAV - WisdomTree Cloud Computing UCITS ETF;ETF;sector


#########################################################################################################     ESG
751;EDMW.DE;iShares MSCI World ESG Enhanced UCITS ETF USD Acc;ETF;sector
794;EMND.DE;iShares MSCI World ESG Enhanced UCITS ETF USD Inc;ETF;sector
790;EMNE.DE;iShares IV PLC - iShares MSCI EMU ESG Enhanced UCITS ETF;ETF;sector
791;EMNJ.DE;iShares MSCI Japan ESG Enhanced UCITS ETF USD Inc;ETF;sector
747;EMNU.DE;iShares MSCI Europe ESG Enhanced UCITS ETF EUR Inc;ETF;sector
744;EDM2.DE;iShares MSCI EM ESG Enhanced UCITS ETF USD Acc;ETF;sector
745;EDM4.DE;iShares MSCI EMU ESG Enhanced UCITS ETF EUR Acc;ETF;sector
746;EDM6.DE;iShares MSCI Europe ESG Enhanced UCITS ETF EUR Acc;ETF;sector
748;EDMJ.DE;iShares MSCI Japan ESG Enhanced UCITS ETF USD Acc;ETF;sector
749;EDMU.DE;iShares MSCI USA ESG Enhanced UCITS ETF USD Acc;ETF;sector
507;LESE.DE;Lyxor MSCI EMU ESG Leaders Extra (DR) UCITS ETF Acc;ETF;sector
506;LESG.DE;Lyxor Msci EM Esg Leaders Extra UCITS ETF Acc;ETF;sector
510;LESU.DE;Multi Units Luxembourg - Lyxor MSCI USA ESG Leaders Extra (DR) UCITS ETF;ETF;sector
173;XZMJ.DE;Xtrackers Ie PLC - Xtrackers Esg Msci Japan UCITS ETF;ETF;sector
174;XZMU.DE;Xtrackers IE PLC - Xtrackers ESG MSCI USA UCITS ETF;ETF;sector
175;XZW0.DE;Xtrackers (IE) Plc - Xtrackers ESG MSCI World UCITS ETF;ETF;sector
483;ZPA5.DE;"Lyxor Net Zero 2050 S&amp;P 500 Climate PAB (DR) UCITS ETF - Acc";ETF;sector
480;ZPAB.DE;"Lyxor S&amp;P Eurozone Paris-Aligned Climate (EU PAB) (DR) UCITS ETF - Acc";ETF;sector
172;XZEU.DE;Xtrackers (IE) Plc - Xtrackers MSCI Europe ESG UCITS ETF 1C;ETF;sector
192;XZEZ.DE;Xtrackers MSCI EMU ESG UCITS ETF;ETF;sector
69;XQUA.DE;Xtrackers (IE) plc - Xtrackers ESG USD Emerging Markets Bond Quality Weighted UCITS ETF;ETF;sector
168;XQUE.DE;Xtrackers (IE) plc - Xtrackers ESG USD Emerging Markets Bond Quality Weighted UCITS ETF;ETF;sector
502;XCO2.DE;Lyxor Green Bond Esg Screened (DR) UCITS ETF;ETF;sector
706;UEEF.DE;iShares $ High Yield Corp Bond ESG UCITS ETF EUR Hedged (Acc);ETF;sector
141;XB4F.DE;Xtrackers II - ESG EUR Corporate Bond UCITS ETF;ETF;sector
761;SODJ.DE;iShares IV Public Limited Company - iShares MSCI Japan ESG Screened UCITS ETF;ETF;sector
760;SGAJ.DE;iShares IV Public Limited Company - iShares MSCI Japan ESG Screened UCITS ETF;ETF;sector
762;SGAS.DE;iShares IV Public Limited Company - iShares MSCI USA ESG Screened UCITS ETF;ETF;sector
755;SLMA.DE;iShares IV Public Limited Company - iShares MSCI EMU ESG Screened UCITS ETF;ETF;sector
756;SLMB.DE;iShares IV Public Limited Company - iShares MSCI EMU ESG Screened UCITS ETF;ETF;sector
757;SLMC.DE;iShares MSCI Europe ESG Screened UCITS ETF EUR (Acc);ETF;sector
758;SLMD.DE;iShares MSCI Europe ESG Screened UCITS ETF EUR (Dist);ETF;sector
717;SLMG.DE;iShares J.P. Morgan ESG $ EM Bond UCITS ETF EUR Hedged (Acc);ETF;sector
763;SLUS.DE;iShares IV Public Limited Company - iShares MSCI USA ESG Screened UCITS ETF;ETF;sector
765;S6DW.DE;iShares IV Public Limited Company - iShares MSCI World ESG Screened UCITS ETF;ETF;sector
218;SADE.DE;Amundi Index Solutions - Amundi MSCI Europe ESG Leaders Select UCITS ETF DR Cap;ETF;sector
315;SADH.DE;Amundi Index Solutions - Amundi MSCI USA ESG Leaders Select ETF DR Hedged;ETF;sector
219;SADM.DE;Amundi Index Solutions - Amundi MSCI Emerging ESG Leaders UCITS ETF DR;ETF;sector
222;SADU.DE;Amundi Index Solutions - Amundi MSCI USA ESG Leaders Select Ucits ETF DR Cap;ETF;sector
225;SADW.DE;Amundi Index Solutions - Amundi MSCI World ESG Leaders Select Ucits ETF DR Cap;ETF;sector
221;SBIE.DE;Amundi Index Solutions - Amundi Msci Europe Esg Universal Select;ETF;sector
226;SBIU.DE;Amundi Index Solutions - Amundi Msci Usa Esg Universal Select;ETF;sector
224;SBIW.DE;Amundi Index Solutions - Amundi MSCI World ESG Universal Select Ucits ETF DR Cap;ETF;sector
220;SBIZ.DE;Amundi Index Solutions - Amundi MSCI EMU ESG Universal Select Ucits ETF DR Cap;ETF;sector
730;SECA.DE;"iShares &#226;&#130;&#172; Govt Bond Climate UCITS ETF EUR (Acc)";ETF;sector
731;SECD.DE;"iShares &#226;&#130;&#172; Govt Bond Climate UCITS ETF EUR (Dist)";ETF;sector

###########################################################################################################          Emerging markets
271;540G.DE;Amundi Index Solutions - Amundi MSCI Eastern Europe Ex Russia UCITS ETF-C EUR;ETF;sector
28;EEM;iShares MSCI Emerging Markets ETF;ETF;sector
29;EFA;iShares MSCI EAFE ETF;ETF;sector
478;EMXC.DE;Multi Units Luxembourg - Lyxor Msci Emerging Markets EX China Ucits ETF;ETF;sector

177;XMME.DE;Xtrackers (IE) Public Limited Company - Xtrackers MSCI Emerging Markets UCITS ETF;ETF;sector

215;AEMD.DE;Amundi Index Solutions - Amundi Index MSCI Emerging Markets;ETF;sector
85;DXS6.DE;Xtrackers MSCI Pacific ex Japan UCITS ETF 1C;ETF;sector
67;DXS7.DE;Xtrackers - FTSE Vietnam Swap UCITS ETF;ETF;sector
250;18MK.DE;Amundi Index Solutions - Amundi MSCI India UCITS ETF-C EUR;ETF;sector
275;18MM.DE;Amundi Index MSCI Pacific ex Japan SRI - UCITS ETF DR - EUR (C);ETF;sector
270;AMEI.DE;Amundi Index Solutions - Amundi Index MSCI Emerging Markets SRI UCITS ETF DR C;ETF;sector
240;AMEM.DE;Amundi Index Solutions - Amundi MSCI Emerging Markets UCITS ETF-C EUR;ETF;sector
4;DBX1.DE;Xtrackers - MSCI Emerging Markets Swap UCITS ETF;ETF;sector
37;DBX2.DE;Xtrackers MSCI EM Asia Swap UCITS ETF 1C;ETF;sector

527;CEBL.DE;iShares VII Public Limited Company - iShares MSCI EM Asia UCITS ETF;ETF;sector
627;CEBP.DE;iShares VII PLC - iShares MSCI EMU USD Hedged ETF Acc;ETF;sector
769;CEMG.DE;iShares MSCI EM Consumer Growth UCITS ETF USD (Acc);ETF;sector
753;AYEM.DE;iShares MSCI EM IMI ESG Screened UCITS ETF USD (Acc);ETF;sector
694;AYEP.DE;iShares Asia Property Yield UCITS ETF USD (Acc);ETF;sector
768;EUNY.DE;iShares EM Dividend UCITS ETF USD (Dist);ETF;sector
171;XZEM.DE;Xtrackers Ie PLC - Xtrackers Esg Msci Emerging Markets UCITS ETF;ETF;sector
#############################################################################################################   Länder 
